timestamp,x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1718719854.6584597,1.0,2.0,3.0,16:10:53,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.226586814512885,1645,421875,6406
1718719855.256558,1.0,2.0,3.0,16:10:53,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.59225243096722,1646,421875,6406
1718719855.8629467,1.0,2.0,3.0,16:10:54,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.583061144048216,1646,421875,6406
1718719856.4754193,1.0,2.0,3.0,16:10:54,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.555237002307344,1572,414062,5937
1718719857.0830336,1.0,2.0,3.0,16:10:55,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.5361166317641,1569,414062,5930
1718719857.6665142,1.0,2.0,3.0,16:10:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.42735437111388,1571,414062,6006
1718719858.266386,1.0,2.0,3.0,16:10:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.65184331901517,1571,414062,6006
1718719858.891605,1.0,2.0,3.0,16:10:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.598599493828527,1575,414062,5975
1718719859.4710286,1.0,2.0,3.0,16:10:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.569760207995408,1575,414062,5975
1718719860.0657122,1.0,2.0,3.0,16:10:58,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.54105485189021,1567,414062,5952
1718719860.6731892,1.0,2.0,3.0,16:10:59,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.608121474515066,1567,414062,5952
1718719861.2633677,1.0,2.0,3.0,16:10:59,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.655377424526375,1567,414062,5952
1718719861.8665297,1.0,2.0,3.0,16:11:00,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.402968454852445,1570,414062,5945
1718719862.4759104,1.0,2.0,3.0,16:11:00,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.581648637657214,1570,414062,5945
1718719863.0868738,1.0,2.0,3.0,16:11:01,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.65786286863763,1564,414062,5900
1718719863.6945097,1.0,2.0,3.0,16:11:02,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.651625401866646,1564,414062,5900
1718719864.2901576,1.0,2.0,3.0,16:11:02,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.536972730036833,1565,414062,5900
1718719864.9023223,1.0,2.0,3.0,16:11:03,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.557493715060644,1563,414062,5884
